Item,Qty,Reference(s),Value,Digikey,Mouser
1,2,"C1, C2",0.1,,
2,1,D1,LITEON_LTD-2601G-11,LTD-2601G-11-ND,859-LTD-2601G-11
3,4,"D2, D4, D6, D8",LED_ALT,160-1445-1-ND,
4,8,"D3, D5, D7, D9, D16, D17, D18, D19",D_ALT,ES1B-E3/61TGICT-ND,
5,6,"D10, D11, D12, D13, D14, D15",LED_Small_Filled,160-1445-1-ND,
6,4,"H1, H2, H3, H4",MH,,
7,1,J1,STEPPER,,
8,1,J2,WRITE,,
9,1,J3,ISP,,
10,1,J4,V,,
11,1,J6,IBM,,
12,1,J7,HP 34-PIN,,
13,1,J8,HP 26-PIN,,
14,1,J9,SHUGART,,
15,1,J10,IBM 31SD,,
16,1,J11,PS/2,,587-395-040
17,1,J12,APPLE II,,
18,8,"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",~,,78-SI2318CDS-T1-BE3
19,9,"R1, R10, R11, R23, R24, R25, R26, R27, R28",10K,RMCF0603JT10K0CT-ND,
20,8,"R2, R3, R4, R5, R6, R7, R8, R9",1K,RMCF0603JT1K0CT-ND,
21,10,"R12, R13, R14, R15, R16, R17, R18, R19, R20, R21",220,RMCF0603JT220RCT-ND,
22,1,R22,3.3K,RMCF0603JT3K30CT-ND,
23,2,"RN1, RN2",R_Network08,4609X-101-102LF,
24,1,RV1,RATE,3386P-1-202TLF,
25,1,RV2,PW,3386P-1-202TLF,
26,1,SW1,RotaryEncoder_Switch,,667-EVE-YBCAJO16B
27,1,SW2,STEP,EG1828-ND,
28,1,SW3,DISKCH_RST,EG1828-ND,
29,1,SW4,DSEL,100DP1T1B1M2QE,
30,1,SW5,DSEL2,CT3098-ND,
31,1,SW6,DRIVE_SELECT,100SP1T1B4M2QE,
32,1,SW7,MOTOR_ON,100SP1T1B4M2QE,
33,1,SW8,HEAD_SEL,100SP1T1B4M2QE,
34,1,SW9,HEAD_LOAD,100SP1T1B4M2QE,
35,1,SW10,DIR,100SP1T1B4M2QE,
36,1,SW11,TG43 MODE,141-100DP6T3B4M2QE-ND,
37,1,SW12,MENU,EG1828-ND,
38,1,SW13,DENSITY,100SP1T1B4M2QE,
39,25,"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25",TestPoint,36-5006-ND,
40,1,U1,ATmega328PB-M,ATMEGA328PB-MU-ND,
41,1,U2,74LS245,,595-SN74LS245DW
42,1,U3,74LS32,,595-SN74LS32DR
43,1,U4,74LS04,,595-SN74LS04D
